league,season,team,player,nation,pos,age,born,90s,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21.0,2003.0,20.7,,,,,,,54,,,,,,,,
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26.0,1998.0,33.2,,,,,,,29,,,,,,,,
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18.0,2006.0,0.8,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18.0,2006.0,0.1,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",22.0,2001.0,37.2,,,,,,,10,,,,,,,,
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,MF,23.0,2001.0,1.7,,,,,,,7,,,,,,,,
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23.0,2001.0,24.7,,,,,,,3,,,,,,,,
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,MF,22.0,2002.0,22.6,,,,,,,63,,,,,,,,
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,"MF,FW",24.0,2000.0,25.2,,,,,,,149,,,,,,,,
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",24.0,1999.0,11.8,,,,,,,43,,,,,,,,
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,MF,21.0,2003.0,2.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26.0,1997.0,32.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20.0,2004.0,8.9,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,ENG,FW,16.0,2007.0,0.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,26.0,1997.0,15.7,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25.0,1999.0,10.1,,,,,,,3,,,,,,,,
ENG-Premier League,2425,Chelsea,Tyrique George,ENG,FW,18.0,2006.0,2.0,,,,,,,3,,,,,,,,
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,23.0,2000.0,13.0,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20.0,2004.0,14.6,,,,,,,39,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,18.0,2005.0,0.1,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Ben Chilwell,ENG,MF,27.0,1996.0,2.9,,,,,,,7,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18.0,2006.0,0.1,,,,,,,2,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21.0,2003.0,1.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24.0,2000.0,5.0,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24.0,2000.0,21.4,,,,,,,5,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,27.0,1996.0,17.4,,,,,,,32,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,MF,28.0,1996.0,35.9,,,,,,,74,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27.0,1997.0,38.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,MF,26.0,1998.0,28.8,,,,,,,110,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25.0,1999.0,11.5,,,,,,,5,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,MF,26.0,1998.0,30.1,,,,,,,55,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27.0,1997.0,29.4,,,,,,,26,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29.0,1994.0,25.3,,,,,,,12,,,,,,,,
