season,competition,date,team,player,xg,x,y,situation,body_part,outcome,minute,source
2425,La Liga,2024-09-22 16:30:00,Villarreal,Nicolas Pepe,0.1000832319259643,91.4000015258789,34.79999923706054,Open Play,Right Foot,saved,12,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Nicolas Pepe,0.52866530418396,82.4000015258789,57.900001525878906,Open Play,Left Foot,saved,42,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Nicolas Pepe,0.0472439527511596,86.80000305175781,30.70000076293945,Open Play,Right Foot,saved,50,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Sergi Cardona,0.0602435730397701,86.0999984741211,59.400001525878906,Open Play,Left Foot,missed,31,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Thierno Barry,0.1111866384744644,85.4000015258789,28.799999237060547,Open Play,Right Foot,missed,92,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Yeremi Pino,0.0772925987839698,86.0,41.29999923706055,Open Play,Right Foot,blocked,49,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Yeremi Pino,0.0562526918947696,90.1999969482422,43.0,From Corner,,post,51,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Álex Baena,0.0529802255332469,92.59999847412108,68.69999694824219,Open Play,Left Foot,blocked,12,understat
2425,La Liga,2024-09-25 19:00:00,Barcelona,Eric Garcia,0.5537927746772766,96.0999984741211,49.5,Set Piece,Left Foot,missed,77,understat
2425,La Liga,2024-09-25 19:00:00,Barcelona,Lamine Yamal,0.0296248085796833,78.19999694824219,29.39999961853027,Open Play,Left Foot,missed,40,understat
2425,La Liga,2024-09-25 19:00:00,Barcelona,Lamine Yamal,0.0301097277551889,78.30000305175781,32.70000076293945,Open Play,Left Foot,saved,58,understat
2425,La Liga,2024-09-25 19:00:00,Barcelona,Lamine Yamal,0.0433875881135463,81.69999694824219,51.20000076293946,From Corner,Left Foot,missed,70,understat
2425,La Liga,2024-09-25 19:00:00,Barcelona,Marc Casadó,0.0631099641323089,80.19999694824219,47.200000762939446,Open Play,Right Foot,blocked,38,understat
2425,La Liga,2024-09-25 19:00:00,Barcelona,Marc Casadó,0.0278876367956399,80.0,60.5,From Corner,Left Foot,missed,55,understat
2425,La Liga,2024-09-25 19:00:00,Barcelona,Raphinha,0.0742484852671623,92.09999847412108,67.9000015258789,Open Play,Left Foot,missed,28,understat
2425,La Liga,2024-09-25 19:00:00,Barcelona,Raphinha,0.0441122651100158,70.19999694824219,48.5,Direct Freekick,Left Foot,blocked,54,understat
2425,La Liga,2024-09-25 19:00:00,Barcelona,Raphinha,0.0555500797927379,75.5999984741211,31.79999923706054,Direct Freekick,Left Foot,saved,70,understat
